,Rk,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Passes_in_Gameflow,Passes_Out_of_Gameflow,Freekick,Throughball,40_yds_pass,Crosses,Corner_Kicks,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Straight,Passes_Offside,Passes_Blocked,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,League,cluster_tackel,cluster_anticipation,cluster_pass,cluster_possesion
1,2,George Abbott,ENG,MF,MF,Tottenham,16,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
3,4,Tyler Adams,US,MF,MF,Leeds United,23,1999,89.0,46.0,44.0,35.0,10.0,50.0,77.0,64.9,27.0,48.0,8.0,40.0,35.0,124.0,29.0,0.0,1108.0,1343.0,82.5,16592.0,5061.0,607.0,686.0,88.5,390.0,460.0,84.8,63.0,107.0,58.9,0.0,1.4,1.0,-1.4,24.0,110.0,13.0,0.0,136.0,1271.0,72.0,58.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,1628.0,44.0,376.0,1010.0,254.0,5.0,1628.0,22.0,7.0,31.8,12.0,54.5,3342.0,1555.0,21.0,0.0,28.0,18.0,919.0,20.0,43.0,1.79,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,EPL,2,2,1,2
12,13,Thiago Alcántara,ES,MF,MF,Liverpool,31,1991,43.0,24.0,20.0,21.0,2.0,14.0,23.0,60.9,9.0,15.0,3.0,12.0,21.0,64.0,13.0,2.0,946.0,1097.0,86.2,17219.0,4988.0,433.0,466.0,92.9,346.0,392.0,88.3,136.0,172.0,79.1,0.0,1.1,1.3,-1.1,17.0,110.0,20.0,1.0,120.0,1063.0,31.0,23.0,8.0,15.0,3.0,0.0,0.0,0.0,0.0,3.0,22.0,1251.0,45.0,272.0,796.0,188.0,8.0,1251.0,30.0,21.0,70.0,4.0,13.3,3639.0,1721.0,21.0,0.0,13.0,22.0,910.0,24.0,41.0,2.94,33.0,0.0,3.0,1.0,1.0,3.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,1,2
16,17,Dele Alli,ENG,MF,MF,Everton,26,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,123.0,10.0,6.0,8.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,8.0,11.0,2.0,20.0,1.0,0.0,0.0,1.0,100.0,30.0,3.0,0.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
20,21,Samuel Amo-Ameyaw,ENG,MF,MF,Southampton,16,2006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,74.0,11.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,3.0,0.0,8.0,4.0,3.0,75.0,1.0,25.0,70.0,64.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
36,37,Yasin Ayari,SE,MF,MF,Brighton,18,2003,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,20.0,23.0,87.0,386.0,133.0,10.0,12.0,83.3,6.0,6.0,100.0,4.0,4.0,100.0,0.0,0.1,0.3,-0.1,2.0,4.0,1.0,0.0,2.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,5.0,18.0,8.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,76.0,44.0,0.0,0.0,2.0,0.0,25.0,2.0,4.0,5.37,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
43,44,Stefan Bajcetic,ES,MF,MF,Liverpool,17,2004,9.0,6.0,5.0,3.0,1.0,8.0,27.0,29.6,19.0,7.0,0.0,7.0,9.0,18.0,4.0,0.0,200.0,258.0,77.5,3227.0,694.0,98.0,118.0,83.1,74.0,89.0,83.1,18.0,29.0,62.1,0.0,0.4,0.5,-0.4,4.0,17.0,7.0,1.0,24.0,255.0,3.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,324.0,6.0,66.0,189.0,74.0,5.0,324.0,16.0,7.0,43.8,4.0,25.0,990.0,450.0,7.0,0.0,7.0,6.0,204.0,1.0,13.0,2.22,8.0,1.0,2.0,0.0,2.0,0.0,1.0,0.17,0.0,0.0,1.0,0.0,0.0,0.0,EPL,1,1,2,1
46,47,Shandon Baptiste,GD,MF,MF,Brentford,24,1998,15.0,9.0,6.0,6.0,3.0,7.0,17.0,41.2,10.0,10.0,2.0,8.0,7.0,22.0,10.0,0.0,247.0,295.0,83.7,4143.0,1121.0,127.0,142.0,89.4,92.0,104.0,88.5,21.0,32.0,65.6,1.0,1.1,0.5,-0.1,10.0,22.0,8.0,2.0,39.0,287.0,6.0,1.0,2.0,0.0,11.0,2.0,2.0,0.0,0.0,2.0,7.0,373.0,12.0,87.0,196.0,97.0,7.0,373.0,13.0,6.0,46.2,3.0,23.1,1097.0,507.0,12.0,3.0,16.0,8.0,247.0,23.0,18.0,2.63,11.0,1.0,2.0,2.0,2.0,0.0,4.0,0.58,3.0,0.0,0.0,0.0,1.0,0.0,EPL,1,1,2,1
49,50,Mads Bech Sørensen,DK,DF,MF,Brentford,23,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,11.0,63.6,142.0,49.0,3.0,3.0,100.0,3.0,4.0,75.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
52,53,Donny van de Beek,NL,MF,MF,Manchester Utd,25,1997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,61.0,75.4,502.0,115.0,31.0,34.0,91.2,8.0,8.0,100.0,1.0,2.0,50.0,0.0,0.1,0.1,-0.1,3.0,0.0,4.0,0.0,6.0,56.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,72.0,1.0,3.0,23.0,46.0,11.0,72.0,3.0,2.0,66.7,1.0,33.3,148.0,85.0,3.0,0.0,2.0,2.0,53.0,20.0,6.0,3.23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPL,1,1,2,1
