,Rk,Player,Nation,Main_Pos,Sec_Pos,Squad,Age,Born,Total Tackels,TklW,Def 3rd,Mid 3rd,Att 3rd,Dribblers_Tackeld,Dribblers_Tackel_Att,Dribblers_Tackel%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Passes_in_Gameflow,Passes_Out_of_Gameflow,Freekick,Throughball,40_yds_pass,Crosses,Corner_Kicks,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Straight,Passes_Offside,Passes_Blocked,Touches,Touches_Def_Pen_Area,Touches_Def_3rd_Area,Touches_Mid_3rd_Area,Touches_Att_3rd_Area,Touches_Att_Pen_Area,Live_Touches_in_Game,Dribbling_Att,Dribbling_Succ,Dribbling_Succ%,Tackeld_Dribbling,Tackeld_Dribbling%,Total_Carry_Distance,Total_Progressive_Carry_Distance,Total_Carries_in_1/3,Total_Carries_in_Penalty_Area,Miscontrols_Carries,Dispossed_Carries,Passes_Received,Progressive_Passes_Received,Shot_Creating_Action,Shot_Creating_Action_90,Live_Passes_lead_Shot_Att,Dead_Passes_lead_Shot_Att,Shot_Att_after_Dribbling,Shot_lead_to_Shot_Att,Foul_drawn_lead_Shot_Att,Def_Action_lead_Shot_Att,GCA,GCA90,Live_Pass_lead_Goal,Dead_Pass_lead_Goal,Goal_after_Dribbling,Shot_lead_Goal,Foul_drawn_lead_Goal,Def_Action_lead_Goal,League
0,1,James Abankwah,IE,DF,DF,Udinese,18,2004,1,1,0,1,0,0,0,,0,4,2,2,0,1,5,0,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0,22,7,3,0,1,0,0,0,0,0,0,0,39,8,26,13,0,0,39,1,1,100.0,0,0.0,48,19,0,0,1,1,21,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Serie A
1,2,Oliver Abildgaard,DK,MF,MF,Hellas Verona,26,1996,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,115,195,59.0,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,0,0.4,0.3,-0.4,6,17,3,2,15,194,0,0,0,1,5,0,0,0,0,1,2,257,15,82,137,40,13,257,1,1,100.0,0,0.0,401,156,3,0,6,1,116,8,9,1.37,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Serie A
2,3,Tammy Abraham,ENG,FW,FW,Roma,24,1997,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0,342,513,66.7,4964,1248,198,260,76.2,102,163,62.6,24,36,66.7,3,3.6,2.8,-0.6,33,18,17,2,54,475,35,2,4,3,11,0,0,0,0,3,8,786,19,50,391,355,125,786,68,22,32.4,37,54.4,2154,856,20,16,62,31,621,141,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0,Serie A
3,4,Christian Acella,IT,MF,MF,Cremonese,20,2002,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,1,9,1,0,11,0,0,,0,,19,7,0,0,1,0,8,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Serie A
4,5,Francesco Acerbi,IT,DF,DF,Inter,34,1988,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,+0.9,16,86,14,3,100,1546,93,41,1,10,22,0,0,0,0,5,4,1890,226,858,880,167,27,1890,12,7,58.3,4,33.3,5108,2867,33,2,13,7,1252,32,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0,Serie A
5,6,Yacine Adli,FR,MF,FW,Milan,22,2000,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,72,4,1,0,1,6,2,0,2,0,0,5,97,1,14,45,42,2,97,6,4,66.7,2,33.3,349,171,5,0,3,5,67,8,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0,Serie A
6,7,Michel Aebischer,CH,FW,MF,Bologna,25,1997,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46,641,30,10,0,3,21,4,1,3,0,3,16,791,14,147,400,246,28,791,13,6,46.2,7,53.8,1992,841,12,4,30,17,618,85,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0,Serie A
7,8,Felix Afena-Gyan,GH,FW,MF,Cremonese,19,2003,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,-0.1,3,3,0,0,8,185,8,2,0,1,4,0,0,0,0,0,4,318,7,40,129,156,28,318,25,7,28.0,12,48.0,1160,463,13,3,34,21,217,54,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0,Serie A
8,9,Kevin Agudelo,CO,MF,FW,Spezia,23,1998,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,-2.0,28,58,31,2,110,711,17,2,5,1,34,5,3,2,0,7,39,1084,11,168,500,457,54,1084,109,50,45.9,50,45.9,4963,2740,71,19,59,55,699,100,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0,Serie A
9,10,Ola Aina,NG,DF,DF,Torino,25,1996,17,13,5,8,4,9,15,60.0,6,12,2,10,11,28,26,0,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,-1.1,12,35,14,9,43,432,108,8,0,3,35,3,0,0,0,4,17,679,20,146,294,250,13,679,49,23,46.9,20,40.8,2268,1112,26,4,15,8,390,43,27,2.77,21,2,3,0,1,0,3,0.31,2,0,1,0,0,0,Serie A
