,index,Player,Nation,Main_Pos,Sec_Pos,Squad,40_yds_pass,Blocks,Clr,CrsPA,Def 3rd,Dribblers_Tackel%,Err,Int,Live_Touches_in_Game,Long_Att,Long_Cmp,Long_Cmp%,Lost,Medium_Att,Medium_Cmp,Medium_Cmp%,Mid 3rd,Pass,PrgDist,PrgP,Sh,Short_Att,Short_Cmp,Short_Cmp%,Tkl+Int,TklW,Total Tackels,Touches,Touches_Def_3rd_Area,Touches_Def_Pen_Area,Touches_Mid_3rd_Area,DBSCAN,HDBSCAN,GMM,MeanShift
5,75,Moisés Caicedo,EC,MF,MF,Brighton,9.0,43.0,31.0,7.0,41.0,58.8,3.0,56.0,2603.0,159.0,126.0,79.2,28.0,755.0,683.0,90.5,47.0,36.0,8036.0,219.0,7.0,1202.0,1112.0,92.5,156.0,50.0,100.0,2603.0,555.0,91.0,1520.0,21,1,2,2
7,85,Casemiro,BR,MF,MF,Manchester Utd,13.0,49.0,64.0,4.0,43.0,52.2,0.0,34.0,1758.0,204.0,126.0,61.8,44.0,545.0,446.0,81.8,35.0,38.0,7351.0,152.0,11.0,614.0,515.0,83.9,123.0,46.0,89.0,1758.0,531.0,110.0,949.0,3,1,2,2
16,145,Cheick Doucouré,ML,MF,MF,Crystal Palace,2.0,47.0,48.0,1.0,40.0,55.8,0.0,56.0,1577.0,104.0,75.0,72.1,23.0,530.0,460.0,86.8,33.0,34.0,5352.0,140.0,13.0,535.0,478.0,89.3,133.0,46.0,77.0,1577.0,444.0,94.0,894.0,-1,1,2,2
18,167,Fabinho,BR,MF,MF,Liverpool,6.0,38.0,40.0,0.0,18.0,38.7,0.0,37.0,2092.0,180.0,125.0,69.4,38.0,680.0,627.0,92.2,40.0,27.0,6163.0,161.0,11.0,882.0,817.0,92.6,102.0,38.0,65.0,2092.0,456.0,83.0,1314.0,-1,-1,2,2
23,189,Idrissa Gana Gueye,SN,MF,MF,Everton,4.0,50.0,34.0,0.0,49.0,51.7,3.0,56.0,1563.0,105.0,57.0,54.3,29.0,476.0,419.0,88.0,35.0,38.0,4278.0,98.0,12.0,583.0,525.0,90.1,153.0,57.0,97.0,1563.0,451.0,77.0,893.0,3,1,2,2
32,236,Pierre Højbjerg,DK,MF,MF,Tottenham,39.0,46.0,64.0,5.0,28.0,38.8,1.0,49.0,2633.0,314.0,242.0,77.1,41.0,895.0,814.0,90.9,22.0,29.0,9705.0,235.0,17.0,970.0,897.0,92.5,105.0,30.0,56.0,2633.0,670.0,122.0,1537.0,-1,1,2,2
43,296,Jefferson Lerma,CO,MF,MF,Bournemouth,7.0,32.0,91.0,2.0,23.0,44.4,1.0,47.0,1934.0,146.0,77.0,52.7,25.0,581.0,502.0,86.4,23.0,17.0,7229.0,142.0,15.0,793.0,695.0,87.6,97.0,30.0,50.0,1934.0,587.0,165.0,1030.0,5,1,2,2
46,309,Douglas Luiz,BR,MF,MF,Aston Villa,10.0,36.0,27.0,4.0,31.0,47.6,2.0,40.0,2117.0,277.0,158.0,57.0,33.0,768.0,665.0,86.6,32.0,29.0,6527.0,148.0,7.0,680.0,613.0,90.1,113.0,42.0,73.0,2118.0,534.0,75.0,1161.0,-1,-1,2,2
55,369,Wilfred Ndidi,NG,MF,MF,Leicester City,5.0,32.0,48.0,0.0,34.0,39.5,3.0,38.0,1129.0,67.0,31.0,46.3,26.0,348.0,304.0,87.4,24.0,18.0,2879.0,51.0,14.0,429.0,392.0,91.4,99.0,42.0,61.0,1129.0,406.0,83.0,652.0,-1,1,2,2
56,373,Rúben Neves,PT,MF,MF,Wolves,24.0,59.0,85.0,1.0,31.0,43.2,1.0,50.0,2483.0,474.0,312.0,65.8,42.0,926.0,824.0,89.0,33.0,37.0,10039.0,218.0,22.0,635.0,578.0,91.0,129.0,43.0,79.0,2486.0,810.0,177.0,1307.0,14,1,2,2
61,395,João Palhinha,PT,MF,MF,Fulham,38.0,48.0,61.0,0.0,58.0,53.0,2.0,46.0,1714.0,157.0,107.0,68.2,63.0,462.0,396.0,85.7,65.0,43.0,4336.0,101.0,5.0,600.0,527.0,87.8,193.0,83.0,147.0,1714.0,433.0,81.0,1056.0,5,1,2,2
66,428,Declan Rice,ENG,MF,MF,West Ham,60.0,45.0,58.0,3.0,44.0,62.0,0.0,63.0,2474.0,324.0,223.0,68.8,19.0,789.0,735.0,93.2,31.0,30.0,9456.0,240.0,15.0,944.0,850.0,90.0,142.0,38.0,79.0,2475.0,670.0,123.0,1419.0,8,1,2,2
68,438,Rodri,ES,MF,MF,Manchester City,26.0,40.0,43.0,3.0,28.0,50.0,1.0,33.0,3272.0,354.0,300.0,84.7,26.0,1369.0,1278.0,93.4,28.0,26.0,11936.0,260.0,14.0,1187.0,1103.0,92.9,100.0,41.0,67.0,3272.0,706.0,119.0,1993.0,8,1,2,2
73,486,Tomáš Souček,CZ,MF,MF,West Ham,6.0,42.0,71.0,6.0,41.0,48.3,3.0,53.0,1366.0,106.0,66.0,62.3,30.0,338.0,255.0,75.4,29.0,25.0,3417.0,88.0,17.0,476.0,360.0,75.6,130.0,37.0,77.0,1366.0,432.0,124.0,652.0,-1,-1,2,2
101,693,Samu Costa,PT,MF,MF,Almería,12.0,29.0,64.0,0.0,35.0,47.5,4.0,37.0,1395.0,169.0,102.0,60.4,32.0,428.0,368.0,86.0,20.0,22.0,5134.0,91.0,7.0,439.0,383.0,87.2,98.0,31.0,61.0,1395.0,478.0,96.0,774.0,3,1,2,2
136,917,Omar Mascarell,ES,MF,DF,Elche,20.0,51.0,54.0,1.0,32.0,48.4,1.0,45.0,1539.0,201.0,132.0,65.7,33.0,560.0,513.0,91.6,19.0,32.0,6208.0,116.0,19.0,469.0,429.0,91.5,98.0,26.0,53.0,1539.0,519.0,112.0,882.0,8,1,2,2
150,1002,Daniel Parejo,ES,MF,MF,Villarreal,29.0,40.0,31.0,3.0,32.0,40.0,2.0,29.0,2851.0,393.0,255.0,64.9,45.0,1001.0,915.0,91.4,23.0,28.0,13261.0,250.0,12.0,1069.0,1001.0,93.6,100.0,40.0,71.0,2855.0,633.0,106.0,1565.0,13,1,2,2
158,1061,Guido Rodríguez,AR,MF,MF,Betis,20.0,58.0,76.0,1.0,59.0,53.5,1.0,42.0,2064.0,189.0,129.0,68.3,47.0,604.0,541.0,89.6,50.0,44.0,7863.0,123.0,14.0,796.0,729.0,91.6,157.0,75.0,115.0,2064.0,607.0,118.0,1248.0,14,1,2,2
159,1066,Oriol Romeu,ES,MF,MF,Girona,12.0,48.0,54.0,3.0,36.0,51.0,0.0,37.0,1952.0,187.0,123.0,65.8,25.0,655.0,593.0,90.5,26.0,38.0,6512.0,133.0,10.0,695.0,641.0,92.2,107.0,38.0,70.0,1952.0,589.0,109.0,1119.0,8,1,2,2
164,1102,Vinicius Souza,BR,MF,MF,Espanyol,9.0,31.0,50.0,1.0,41.0,55.9,1.0,48.0,1242.0,106.0,66.0,62.3,26.0,353.0,295.0,83.6,45.0,17.0,3394.0,82.0,14.0,396.0,343.0,86.6,147.0,66.0,99.0,1242.0,337.0,79.0,746.0,-1,1,2,2
166,1112,Aurélien Tchouaméni,FR,MF,MF,Real Madrid,7.0,20.0,50.0,0.0,23.0,60.5,0.0,49.0,1990.0,106.0,88.0,83.0,15.0,686.0,646.0,94.2,36.0,14.0,7823.0,142.0,6.0,851.0,807.0,94.8,113.0,40.0,64.0,1990.0,470.0,94.0,1234.0,-1,1,2,2
168,1124,Lucas Torró,ES,MF,MF,Osasuna,16.0,24.0,64.0,0.0,28.0,42.9,1.0,42.0,1459.0,116.0,68.0,58.6,24.0,415.0,350.0,84.3,15.0,21.0,4090.0,98.0,3.0,571.0,496.0,86.9,90.0,32.0,48.0,1459.0,365.0,91.0,873.0,-1,1,2,2
174,1162,Martín Zubimendi,ES,MF,MF,Real Sociedad,10.0,44.0,55.0,1.0,23.0,53.3,4.0,37.0,2090.0,188.0,125.0,66.5,21.0,770.0,702.0,91.2,30.0,27.0,8092.0,184.0,17.0,784.0,692.0,88.3,96.0,33.0,59.0,2090.0,509.0,108.0,1350.0,13,1,2,2
189,1237,Alexis Blin,FR,MF,MF,Lecce,11.0,55.0,74.0,3.0,27.0,52.1,0.0,34.0,1299.0,96.0,59.0,61.5,35.0,353.0,290.0,82.2,33.0,40.0,3766.0,101.0,15.0,446.0,379.0,85.0,103.0,39.0,69.0,1299.0,352.0,86.0,697.0,-1,1,2,2
199,1302,Lassana Coulibaly,ML,MF,MF,Salernitana,5.0,35.0,33.0,1.0,42.0,41.1,2.0,25.0,1540.0,92.0,57.0,62.0,43.0,453.0,399.0,88.1,35.0,28.0,4473.0,120.0,7.0,554.0,489.0,88.3,109.0,50.0,84.0,1540.0,399.0,86.0,933.0,-1,1,2,2
200,1304,Bryan Cristante,IT,MF,DF,Roma,31.0,39.0,53.0,4.0,55.0,61.1,0.0,18.0,1993.0,296.0,182.0,61.5,35.0,666.0,590.0,88.6,49.0,29.0,8226.0,142.0,10.0,647.0,571.0,88.3,131.0,62.0,113.0,1994.0,559.0,99.0,1257.0,3,1,2,2
218,1412,Morten Hjulmand,DK,MF,MF,Lecce,26.0,43.0,54.0,5.0,49.0,55.2,0.0,72.0,1665.0,225.0,138.0,61.3,30.0,521.0,452.0,86.8,40.0,32.0,6227.0,159.0,11.0,516.0,428.0,82.9,162.0,52.0,90.0,1665.0,472.0,101.0,982.0,-1,1,2,2
228,1473,Manuel Locatelli,IT,MF,MF,Juventus,20.0,50.0,59.0,1.0,26.0,56.6,0.0,27.0,1671.0,225.0,153.0,68.0,23.0,526.0,462.0,87.8,23.0,28.0,7015.0,134.0,22.0,547.0,478.0,87.4,86.0,33.0,59.0,1671.0,466.0,100.0,939.0,-1,1,2,2
248,1582,Matteo Pessina,IT,MF,MF,Monza,10.0,50.0,33.0,3.0,28.0,41.9,1.0,37.0,2375.0,190.0,134.0,70.5,36.0,813.0,731.0,89.9,21.0,35.0,8199.0,193.0,15.0,896.0,807.0,90.1,94.0,36.0,57.0,2378.0,587.0,87.0,1333.0,21,1,2,2
255,1628,Marten de Roon,NL,MF,MF,Atalanta,24.0,37.0,58.0,1.0,37.0,45.7,0.0,36.0,2209.0,273.0,177.0,64.8,44.0,842.0,736.0,87.4,35.0,33.0,8619.0,171.0,4.0,714.0,635.0,88.9,113.0,39.0,77.0,2209.0,634.0,119.0,1232.0,-1,1,2,2
258,1651,Jerdy Schouten,NL,MF,MF,Bologna,13.0,40.0,43.0,0.0,28.0,55.1,1.0,40.0,1807.0,115.0,87.0,75.7,22.0,553.0,494.0,89.3,33.0,23.0,5831.0,139.0,17.0,763.0,688.0,90.2,103.0,38.0,63.0,1807.0,492.0,81.0,1138.0,-1,1,2,2
261,1689,Adrien Tameze,CM,MF,MF,Hellas Verona,6.0,51.0,55.0,3.0,21.0,44.4,2.0,37.0,1428.0,116.0,73.0,62.9,35.0,430.0,363.0,84.4,26.0,37.0,4390.0,103.0,14.0,468.0,376.0,80.3,88.0,30.0,51.0,1428.0,380.0,97.0,829.0,-1,-1,2,2
269,1736,Walace,BR,MF,MF,Udinese,25.0,47.0,51.0,3.0,42.0,45.6,1.0,51.0,2151.0,257.0,189.0,73.5,49.0,745.0,667.0,89.5,31.0,35.0,8344.0,170.0,12.0,670.0,586.0,87.5,133.0,39.0,82.0,2151.0,649.0,121.0,1266.0,8,1,2,2
274,1771,Laurent Abergel,FR,MF,MF,Lorient,8.0,47.0,39.0,0.0,59.0,42.4,0.0,34.0,1779.0,160.0,111.0,69.4,53.0,617.0,562.0,91.1,30.0,39.0,7579.0,143.0,8.0,640.0,593.0,92.7,126.0,52.0,92.0,1779.0,581.0,76.0,1069.0,-1,1,2,2
277,1789,Benjamin André,FR,MF,MF,Lille,23.0,50.0,60.0,0.0,51.0,53.7,0.0,47.0,2743.0,335.0,238.0,71.0,56.0,916.0,809.0,88.3,60.0,42.0,11527.0,309.0,8.0,937.0,818.0,87.3,175.0,74.0,128.0,2743.0,626.0,120.0,1774.0,14,1,2,2
